date,hour,energy_kWh
6/9/2012,23,0.637
6/10/2012,0,0.448
6/10/2012,1,0.431
6/10/2012,2,0.507
6/10/2012,3,0.82
6/10/2012,4,0.873
6/10/2012,5,0.894
6/10/2012,6,0.497
6/10/2012,7,0.837
6/10/2012,8,0.884
6/10/2012,9,0.994
6/10/2012,10,1.222
6/10/2012,11,0.768
6/10/2012,12,0.95
6/10/2012,13,0.907
6/10/2012,14,0.609
6/10/2012,15,0.68
6/10/2012,16,0.471
6/10/2012,17,0.471
6/10/2012,18,0.455
6/10/2012,19,0.438
6/10/2012,20,0.479
6/10/2012,21,0.565
6/10/2012,22,0.442
6/10/2012,23,0.761
6/11/2012,0,0.62
6/11/2012,1,0.459
6/11/2012,2,0.456
6/11/2012,3,0.543
6/11/2012,4,0.741
6/11/2012,5,0.908
6/11/2012,6,0.855
6/11/2012,7,0.907
6/11/2012,8,0.433
6/11/2012,9,1.037
6/11/2012,10,0.704
6/11/2012,11,0.677
6/11/2012,12,0.584
6/11/2012,13,0.731
6/11/2012,14,0.786
6/11/2012,15,0.439
6/11/2012,16,0.585
6/11/2012,17,0.627
6/11/2012,18,0.817
6/11/2012,19,1.796
6/11/2012,20,1.074
6/11/2012,21,0.729
6/11/2012,22,0.738
6/11/2012,23,0.45
6/12/2012,0,0.489
6/12/2012,1,0.456
6/12/2012,2,0.876
6/12/2012,3,0.846
6/12/2012,4,0.815
6/12/2012,5,0.786
6/12/2012,6,0.758
6/12/2012,7,0.732
6/12/2012,8,0.708
6/12/2012,9,0.689
6/12/2012,10,0.424
6/12/2012,11,0.459
6/12/2012,12,0.464
6/12/2012,13,0.437
6/12/2012,14,0.434
6/12/2012,15,0.466
6/12/2012,16,0.607
6/12/2012,17,0.925
6/12/2012,18,0.699
6/12/2012,19,0.714
6/12/2012,20,0.731
6/12/2012,21,0.749
6/12/2012,22,0.768
6/12/2012,23,0.786
6/13/2012,0,0.805
6/13/2012,1,0.823
6/13/2012,2,0.622
6/13/2012,3,0.633
6/13/2012,4,0.643
6/13/2012,5,0.652
6/13/2012,6,0.658
6/13/2012,7,0.662
6/13/2012,8,0.664
6/13/2012,9,0.663
6/13/2012,10,0.586
6/13/2012,11,0.721
6/13/2012,12,0.43
6/13/2012,13,0.847
6/13/2012,14,0.419
6/13/2012,15,0.439
6/13/2012,16,0.622
6/13/2012,17,0.802
6/13/2012,18,0.889
6/13/2012,19,0.731
6/13/2012,20,0.665
6/13/2012,21,0.734
6/13/2012,22,0.665
6/13/2012,23,0.848
6/14/2012,0,0.554
6/14/2012,1,0.861
6/14/2012,2,0.891
6/14/2012,3,0.797
6/14/2012,4,0.567
6/14/2012,5,0.896
6/14/2012,6,0.923
6/14/2012,7,1.234
6/14/2012,8,0.867
6/14/2012,9,0.859
6/14/2012,10,0.55
6/14/2012,11,0.726
6/14/2012,12,0.858
6/14/2012,13,0.458
6/14/2012,14,0.801
6/14/2012,15,0.428
6/14/2012,16,1.213
6/14/2012,17,0.635
6/14/2012,18,0.424
6/14/2012,19,0.436
6/14/2012,20,0.448
6/14/2012,21,0.46
6/14/2012,22,0.471
6/14/2012,23,0.481
6/15/2012,0,0.489
6/15/2012,1,0.494
6/15/2012,2,0.914
6/15/2012,3,0.897
6/15/2012,4,0.979
6/15/2012,5,0.965
6/15/2012,6,0.95
6/15/2012,7,1.278
6/15/2012,8,0.895
6/15/2012,9,0.478
6/15/2012,10,0.983
6/15/2012,11,0.933
6/15/2012,12,0.881
6/15/2012,13,0.829
6/15/2012,14,0.775
6/15/2012,15,0.723
6/15/2012,16,0.672
6/15/2012,17,0.624
6/15/2012,18,0.579
6/15/2012,19,0.539
6/15/2012,20,0.503
6/15/2012,21,0.474
6/15/2012,22,0.452
6/15/2012,23,0.438
6/16/2012,0,0.433
6/16/2012,1,0.437
6/16/2012,2,0.437
6/16/2012,3,0.456
6/16/2012,4,0.448
6/16/2012,5,0.431
6/16/2012,6,0.459
6/16/2012,7,0.439
6/16/2012,8,0.43
6/16/2012,9,0.455
6/16/2012,10,0.561
6/16/2012,11,0.498
6/16/2012,12,1.296
6/16/2012,13,0.691
6/16/2012,14,0.668
6/16/2012,15,1.184
6/16/2012,16,0.614
6/16/2012,17,0.47
6/16/2012,18,0.469
6/16/2012,19,0.459
6/16/2012,20,0.83
6/16/2012,21,0.491
6/16/2012,22,0.454
6/16/2012,23,0.847
6/17/2012,0,0.461
6/17/2012,1,0.642
6/17/2012,2,0.776
6/17/2012,3,0.495
6/17/2012,4,0.826
6/17/2012,5,0.891
6/17/2012,6,0.49
6/17/2012,7,0.955
6/17/2012,8,0.417
6/17/2012,9,0.883
6/17/2012,10,0.941
6/17/2012,11,0.959
6/17/2012,12,0.976
6/17/2012,13,0.993
6/17/2012,14,1.008
6/17/2012,15,1.021
6/17/2012,16,1.033
6/17/2012,17,1.043
6/17/2012,18,1.051
6/17/2012,19,1.056
6/17/2012,20,1.059
6/17/2012,21,1.058
6/17/2012,22,1.054
6/17/2012,23,1.047
6/18/2012,0,1.036
6/18/2012,1,1.021
6/18/2012,2,0.516
6/18/2012,3,0.931
6/18/2012,4,0.451
6/18/2012,5,0.884
6/18/2012,6,0.897
6/18/2012,7,0.747
6/18/2012,8,0.883
6/18/2012,9,0.857
6/18/2012,10,0.46
6/18/2012,11,0.848
6/18/2012,12,0.416
6/18/2012,13,0.474
6/18/2012,14,0.438
6/18/2012,15,0.441
6/18/2012,16,0.616
6/18/2012,17,0.611
6/18/2012,18,1.293
6/18/2012,19,1.36
6/18/2012,20,1.434
6/18/2012,21,1.514
6/18/2012,22,1.599
6/18/2012,23,1.687
6/19/2012,0,1.777
6/19/2012,1,1.868
6/19/2012,2,0.455
6/19/2012,3,0.475
6/19/2012,4,0.495
6/19/2012,5,0.513
6/19/2012,6,0.531
6/19/2012,7,0.546
6/19/2012,8,0.56
6/19/2012,9,0.571
6/19/2012,10,2.444
6/19/2012,11,0.637
6/19/2012,12,0.689
6/19/2012,13,2.123
6/19/2012,14,0.708
6/19/2012,15,1.313
6/19/2012,16,0.633
6/19/2012,17,0.902
6/19/2012,18,0.799
6/19/2012,19,3.363
6/19/2012,20,0.689
6/19/2012,21,0.665
6/19/2012,22,1.263
6/19/2012,23,0.737
6/20/2012,0,0.474
6/20/2012,1,0.434
6/20/2012,2,0.502
6/20/2012,3,0.462
6/20/2012,4,0.457
6/20/2012,5,0.506
6/20/2012,6,0.888
6/20/2012,7,0.978
6/20/2012,8,0.485
6/20/2012,9,0.623
6/20/2012,10,0.527
6/20/2012,11,0.614
6/20/2012,12,0.476
6/20/2012,13,0.463
6/20/2012,14,0.486
6/20/2012,15,0.572
6/20/2012,16,0.615
6/20/2012,17,0.918
6/20/2012,18,2.548
6/20/2012,19,2.448
6/20/2012,20,1.024
6/20/2012,21,1.098
6/20/2012,22,0.796
6/20/2012,23,0.647
6/21/2012,0,1.131
6/21/2012,1,0.5
6/21/2012,2,0.463
6/21/2012,3,0.49
6/21/2012,4,0.49
6/21/2012,5,0.566
6/21/2012,6,0.824
6/21/2012,7,1.485
6/21/2012,8,0.539
6/21/2012,9,0.461
6/21/2012,10,0.543
6/21/2012,11,0.46
6/21/2012,12,0.512
6/21/2012,13,0.977
6/21/2012,14,0.574
6/21/2012,15,0.871
6/21/2012,16,1.711
6/21/2012,17,1.395
6/21/2012,18,1.36
6/21/2012,19,1.105
6/21/2012,20,1.511
6/21/2012,21,1.261
6/21/2012,22,1.054
6/21/2012,23,0.648
6/22/2012,0,0.528
6/22/2012,1,0.489
6/22/2012,2,0.536
6/22/2012,3,0.458
6/22/2012,4,0.528
6/22/2012,5,0.482
6/22/2012,6,0.779
6/22/2012,7,1.023
6/22/2012,8,0.762
6/22/2012,9,0.584
6/22/2012,10,1.138
6/22/2012,11,2.536
6/22/2012,12,3.023
6/22/2012,13,0.977
6/22/2012,14,0.871
6/22/2012,15,0.855
6/22/2012,16,1.098
6/22/2012,17,1.685
6/22/2012,18,1.602
6/22/2012,19,1.274
6/22/2012,20,1.202
6/22/2012,21,1.21
6/22/2012,22,2.318
6/22/2012,23,0.544
6/23/2012,0,0.511
6/23/2012,1,0.53
6/23/2012,2,0.58
6/23/2012,3,0.551
